[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1680552000, 2023-04-03 16:00, 2023-04-03, 16.000000, 4.460000, 2023-04-06, 1680811200, 3.000000, 0.990010, 0.007670, -0.000310, -0.010240, -0.000330, 7.604650, 14.000000, 3.450000, 43 x 19, 3.400000, 3.550000, 1.000000, 0.000000, 0.010000, 0 x 2095, 0.000000, -0.004020, 0.004510, 0.000140, -0.004120, 0.000000, 6.467690, , 3.500000, 0.776000
1680552000, 2023-04-03 16:00, 2023-04-03, 16.000000, 4.460000, 2023-04-06, 1680811200, 3.000000, 0.983920, 0.015420, 0.000270, -0.011750, 0.000100, 5.872010, , 0.000000, 10 x 19, 2.910000, 3.050000, 1.500000, 0.000000, 0.010000, 0 x 2033, 0.000000, -0.005830, 0.008130, 0.000270, -0.004060, 0.000000, 4.772510, , 3.000000, 0.664000
1680552000, 2023-04-03 16:00, 2023-04-03, 16.000000, 4.460000, 2023-04-06, 1680811200, 3.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000680, , 2.000000, 2.520000, 20 x 18, 2.410000, 2.500000, 2.000000, 0.000000, 0.010000, 0 x 2886, 0.000000, -0.008460, 0.013990, 0.000270, -0.003830, 0.000000, 3.585360, , 2.500000, 0.552000
1680552000, 2023-04-03 16:00, 2023-04-03, 16.000000, 4.460000, 2023-04-06, 1680811200, 3.000000, 0.983610, 0.032020, -0.000220, -0.006210, 0.000230, 2.898810, 4.000000, 2.000000, 16 x 8, 1.950000, 1.990000, 2.500000, 0.000000, 0.010000, 0 x 2482, 0.000000, -0.011190, 0.024300, 0.000340, -0.003540, -0.000070, 2.664400, , 2.000000, 0.439000
1680552000, 2023-04-03 16:00, 2023-04-03, 16.000000, 4.460000, 2023-04-06, 1680811200, 3.000000, 0.988580, 0.037670, -0.000300, -0.002980, 0.000210, 1.807860, 7.000000, 1.510000, 41 x 31, 1.410000, 1.520000, 3.000000, 0.000000, 0.010000, 0 x 2357, 0.040000, -0.015570, 0.045110, 0.000330, -0.003370, 0.000000, 1.903910, 0.000000, 1.500000, 0.327000
1680552000, 2023-04-03 16:00, 2023-04-03, 16.000000, 4.460000, 2023-04-06, 1680811200, 3.000000, 0.967000, 0.119840, 0.000210, -0.005240, -0.000010, 1.356120, 1.000000, 1.090000, 18 x 50, 0.910000, 1.030000, 3.500000, 0.000000, 0.010000, 0 x 4452, 0.010000, -0.023250, 0.096920, -0.000130, -0.002900, 0.000000, 1.242170, 2.000000, 1.000000, 0.215000
1680552000, 2023-04-03 16:00, 2023-04-03, 16.000000, 4.460000, 2023-04-06, 1680811200, 3.000000, 0.904060, 0.440370, 0.001150, -0.008850, 0.000140, 0.857830, 1036.000000, 0.490000, 7 x 26, 0.460000, 0.500000, 4.000000, 0.000000, 0.010000, 0 x 377, 0.010000, -0.041930, 0.310990, 0.000110, -0.002900, -0.000230, 0.637020, 1964.000000, 0.500000, 0.103000
1680552000, 2023-04-03 16:00, 2023-04-03, 16.000000, 4.460000, 2023-04-06, 1680811200, 3.000000, 0.481110, 0.978090, 0.001370, -0.023730, 0.000520, 0.903750, 14614.000000, 0.140000, 179 x 190, 0.140000, 0.150000, 4.500000, 0.160000, 0.170000, 218 x 226, 0.160000, -0.525000, 1.097440, 0.001790, -0.020990, -0.000360, 0.805180, 3346.000000, 0.000000, 0.009000
1680552000, 2023-04-03 16:00, 2023-04-03, 16.000000, 4.460000, 2023-04-06, 1680811200, 3.000000, 0.210050, 0.495100, 0.001310, -0.023210, -0.000380, 1.291620, 10867.000000, 0.070000, 118 x 347, 0.060000, 0.070000, 5.000000, 0.570000, 0.600000, 131 x 56, 0.580000, -0.817690, 0.482530, 0.001630, -0.017920, -0.000440, 1.152400, 405.000000, 0.500000, 0.121000
1680552000, 2023-04-03 16:00, 2023-04-03, 16.000000, 4.460000, 2023-04-06, 1680811200, 3.000000, 0.108930, 0.262790, 0.000400, -0.016740, -0.000010, 1.578760, 2495.000000, 0.030000, 336 x 543, 0.030000, 0.040000, 5.500000, 1.040000, 1.140000, 123 x 66, 1.050000, -0.844270, 0.241210, 0.001120, -0.024500, -0.000120, 1.798340, 62.000000, 1.000000, 0.233000
