[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1685649600, 2023-06-01 16:00, 2023-06-01, 16.000000, 2.780000, 2023-06-02, 1685736000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, -0.000360, , 4.000000, 2.400000, 1 x 20, 2.250000, 2.310000, 0.500000, 0.000000, 0.010000, 0 x 1541, 0.000000, -0.005350, 0.006960, 0.000520, -0.004720, 0.000000, 11.615980, , 2.300000, 0.820000
1685649600, 2023-06-01 16:00, 2023-06-01, 16.000000, 2.780000, 2023-06-02, 1685736000, 1.000000, 0.988490, 0.020930, -0.000030, -0.006350, -0.000140, 7.325990, 0.000000, 3.100000, 52 x 50, 1.730000, 1.850000, 1.000000, 0.000000, 0.010000, 0 x 862, 0.000000, -0.009340, 0.018570, 0.000320, -0.004450, 0.000000, 7.057610, , 1.800000, 0.641000
1685649600, 2023-06-01 16:00, 2023-06-01, 16.000000, 2.780000, 2023-06-02, 1685736000, 1.000000, 1.000000, 0.000000, 0.000000, -0.000090, -0.000130, , 0.000000, 1.900000, 1 x 1, 1.220000, 1.340000, 1.500000, 0.000000, 0.010000, 0 x 637, 0.000000, -0.014460, 0.044240, 0.000400, -0.004480, 0.000000, 4.451350, , 1.300000, 0.461000
1685649600, 2023-06-01 16:00, 2023-06-01, 16.000000, 2.780000, 2023-06-02, 1685736000, 1.000000, 0.970470, 0.130230, 0.000490, -0.006100, 0.000170, 2.670850, 4.000000, 0.830000, 21 x 23, 0.770000, 0.810000, 2.000000, 0.000000, 0.010000, 0 x 3796, 0.010000, -0.024870, 0.119410, -0.000250, -0.004820, 0.000000, 2.573510, 0.000000, 0.800000, 0.281000
1685649600, 2023-06-01 16:00, 2023-06-01, 16.000000, 2.780000, 2023-06-02, 1685736000, 1.000000, 0.903780, 0.717670, 0.000570, -0.010300, -0.000210, 1.239950, 629.000000, 0.300000, 1 x 3, 0.290000, 0.300000, 2.500000, 0.000000, 0.010000, 0 x 1510, 0.010000, -0.057990, 0.596120, 0.000540, -0.004670, 0.000000, 1.018860, 195.000000, 0.300000, 0.102000
1685649600, 2023-06-01 16:00, 2023-06-01, 16.000000, 2.780000, 2023-06-02, 1685736000, 1.000000, 0.198650, 1.191050, 0.000880, -0.018590, 0.000410, 1.224180, 5794.000000, 0.030000, 129 x 291, 0.020000, 0.030000, 3.000000, 0.220000, 0.230000, 55 x 100, 0.220000, -0.881010, 1.069470, 0.000130, -0.008090, -0.000050, 0.883140, 2190.000000, 0.200000, 0.078000
1685649600, 2023-06-01 16:00, 2023-06-01, 16.000000, 2.780000, 2023-06-02, 1685736000, 1.000000, 0.037940, 0.237330, -0.000110, -0.005020, 0.000000, 1.807450, 1440.000000, 0.010000, 0 x 2277, 0.000000, 0.010000, 3.500000, 0.710000, 0.750000, 2 x 1, 0.700000, -0.887900, 0.245450, 0.000420, -0.013330, -0.000010, 2.350300, 250.000000, 0.700000, 0.257000
1685649600, 2023-06-01 16:00, 2023-06-01, 16.000000, 2.780000, 2023-06-02, 1685736000, 1.000000, 0.027650, 0.126440, 0.000160, -0.005180, 0.000000, 2.623510, 230.000000, 0.010000, 0 x 737, 0.000000, 0.010000, 4.000000, 1.200000, 1.240000, 541 x 1, 1.170000, -0.882070, 0.033710, 0.000250, -0.003610, 0.000000, 3.294350, 438.000000, 1.200000, 0.437000
1685649600, 2023-06-01 16:00, 2023-06-01, 16.000000, 2.780000, 2023-06-02, 1685736000, 1.000000, 0.022350, 0.085570, 0.000150, -0.005090, 0.000000, 3.303930, 21.000000, 0.010000, 0 x 917, 0.000000, 0.010000, 4.500000, 1.680000, 1.780000, 263 x 159, 1.630000, -0.837730, 0.048710, 0.000330, -0.013630, -0.000570, 4.853910, 200.000000, 1.700000, 0.617000
1685649600, 2023-06-01 16:00, 2023-06-01, 16.000000, 2.780000, 2023-06-02, 1685736000, 1.000000, 0.019480, 0.064840, -0.000220, -0.005180, 0.000000, 3.888520, 3.000000, 0.010000, 0 x 161, 0.000000, 0.010000, 5.000000, 2.160000, 2.270000, 1 x 52, 1.940000, -1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 0.000000, 2.200000, 0.796000
