[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 6.790000, 2023-01-06, 1673038800, 3.000000, 1.000000, 0.000000, 0.000000, -0.000150, 0.000350, , 1.000000, 5.830000, 38 x 33, 5.750000, 5.800000, 1.000000, 0.000000, 0.010000, 0 x 3511, 0.000000, -0.002520, 0.001450, -0.000280, -0.003720, 0.000000, 7.843980, , 5.800000, 0.853000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 6.790000, 2023-01-06, 1673038800, 3.000000, 0.993160, 0.005030, 0.000200, -0.007410, 0.000700, 5.538890, , 0.000000, 51 x 66, 4.750000, 4.850000, 2.000000, 0.000000, 0.010000, 0 x 3527, 0.000000, -0.004210, 0.003430, 0.000160, -0.004190, 0.000000, 5.045350, , 4.800000, 0.705000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 6.790000, 2023-01-06, 1673038800, 3.000000, 0.989850, 0.010110, 0.000660, -0.007130, 0.000410, 3.778100, 0.000000, 3.950000, 38 x 71, 3.750000, 3.850000, 3.000000, 0.000000, 0.010000, 0 x 2336, 0.000000, -0.006310, 0.007110, 0.000460, -0.003490, 0.000000, 3.450500, , 3.800000, 0.558000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 6.790000, 2023-01-06, 1673038800, 3.000000, 1.000000, 0.000000, 0.000000, -0.000790, 0.000630, -0.000060, 0.000000, 3.030000, 36 x 36, 2.760000, 2.820000, 4.000000, 0.000000, 0.010000, 0 x 2345, 0.000000, -0.008730, 0.014900, 0.000060, -0.003700, -0.000440, 2.319120, , 2.800000, 0.411000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 6.790000, 2023-01-06, 1673038800, 3.000000, 1.000000, 0.000000, 0.000000, -0.000300, 0.000010, , 0.000000, 2.470000, 38 x 37, 2.260000, 2.310000, 4.500000, 0.000000, 0.010000, 0 x 2222, 0.000000, -0.010960, 0.022560, 0.000550, -0.004050, 0.000000, 1.849840, , 2.300000, 0.337000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 6.790000, 2023-01-06, 1673038800, 3.000000, 1.000000, 0.000000, 0.000000, -0.000380, 0.000750, , 4.000000, 2.110000, 38 x 11, 1.760000, 1.800000, 5.000000, 0.000000, 0.010000, 0 x 2061, 0.010000, -0.013680, 0.036210, 0.000330, -0.003520, 0.000000, 1.424300, 0.000000, 1.800000, 0.264000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 6.790000, 2023-01-06, 1673038800, 3.000000, 1.000000, 0.000000, 0.000000, -0.000870, 0.000840, -0.000340, 2.000000, 1.600000, 38 x 39, 1.270000, 1.310000, 5.500000, 0.000000, 0.010000, 0 x 1758, 0.010000, -0.018530, 0.064880, -0.000090, -0.002900, 0.000000, 1.029410, 1.000000, 1.300000, 0.190000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 6.790000, 2023-01-06, 1673038800, 3.000000, 0.959920, 0.175770, 0.000240, -0.005930, 0.000870, 0.716390, 969.000000, 0.800000, 2 x 13, 0.790000, 0.810000, 6.000000, 0.010000, 0.020000, 864 x 881, 0.020000, -0.060870, 0.215010, 0.000350, -0.007690, -0.000310, 0.812860, 213.000000, 0.800000, 0.116000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 6.790000, 2023-01-06, 1673038800, 3.000000, 0.742420, 0.665490, 0.002000, -0.022410, 0.000250, 0.706230, 1517.000000, 0.380000, 120 x 142, 0.360000, 0.380000, 6.500000, 0.080000, 0.090000, 1243 x 451, 0.090000, -0.265650, 0.647420, 0.001800, -0.022920, -0.000670, 0.738610, 1043.000000, 0.300000, 0.043000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 6.790000, 2023-01-06, 1673038800, 3.000000, 0.385010, 0.631650, 0.002820, -0.033490, -0.000200, 0.881810, 4467.000000, 0.160000, 441 x 973, 0.150000, 0.160000, 7.000000, 0.350000, 0.360000, 480 x 3, 0.360000, -0.620660, 0.650710, 0.002400, -0.031660, -0.000500, 0.852700, 2014.000000, 0.200000, 0.031000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 6.790000, 2023-01-06, 1673038800, 3.000000, 0.180460, 0.376900, 0.001600, -0.024450, -0.000210, 1.015390, 2640.000000, 0.070000, 1864 x 1210, 0.060000, 0.070000, 7.500000, 0.770000, 0.790000, 47 x 46, 0.770000, -0.806560, 0.363790, 0.002110, -0.026050, -0.000220, 1.057950, 479.000000, 0.700000, 0.105000
