[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 4.670000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 20.000000, 3.930000, 60 x 21, 3.600000, 3.700000, 1.000000, 0.000000, 0.010000, 0 x 3800, 0.000000, -0.003920, 0.003990, 0.000210, -0.004500, 0.000000, 7.706680, , 3.700000, 0.786000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 4.670000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000140, 1.000000, 2.570000, 21 x 20, 2.630000, 2.700000, 2.000000, 0.000000, 0.030000, 0 x 20, 0.000000, -0.017290, 0.020500, 0.000560, -0.011770, -0.000510, 5.139870, , 2.700000, 0.571000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 4.670000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 0.000000, 1.840000, 20 x 21, 1.630000, 1.680000, 3.000000, 0.000000, 0.030000, 0 x 26, 0.000000, -0.030470, 0.059450, 0.000670, -0.011340, -0.000390, 2.880150, , 1.700000, 0.357000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 4.670000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000130, 21.000000, 1.100000, 1 x 24, 1.140000, 1.190000, 3.500000, 0.000000, 0.010000, 0 x 3604, 0.010000, -0.020200, 0.072620, 0.000690, -0.004490, 0.000000, 1.632100, 0.000000, 1.200000, 0.250000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 4.670000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.000190, 50.000000, 0.660000, 20 x 1, 0.650000, 0.680000, 4.000000, 0.000000, 0.010000, 0 x 503, 0.010000, -0.032890, 0.191370, 0.000730, -0.003610, 0.000000, 0.942600, 331.000000, 0.700000, 0.143000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 4.670000, 2023-02-03, 1675458000, 2.000000, 0.671210, 1.072190, 0.001020, -0.020260, 0.000220, 0.929610, 1777.000000, 0.220000, 138 x 204, 0.210000, 0.240000, 4.500000, 0.060000, 0.070000, 354 x 470, 0.060000, -0.316030, 1.156170, 0.001190, -0.024760, -0.000070, 0.759420, 1929.000000, 0.200000, 0.035000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 4.670000, 2023-02-03, 1675458000, 2.000000, 0.242360, 0.657760, 0.000810, -0.025630, 0.000400, 1.184050, 8400.000000, 0.060000, 183 x 89, 0.060000, 0.070000, 5.000000, 0.400000, 0.410000, 39 x 75, 0.390000, -0.808220, 0.695710, 0.000960, -0.028970, 0.000000, 0.946880, 1422.000000, 0.300000, 0.072000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 4.670000, 2023-02-03, 1675458000, 2.000000, 0.096170, 0.290000, 0.001140, -0.015970, 0.000530, 1.458180, 3214.000000, 0.030000, 415 x 1317, 0.020000, 0.030000, 5.500000, 0.840000, 0.880000, 20 x 39, 0.890000, -1.000000, 0.000000, 0.328240, 0.000000, 0.000000, 0.001190, 239.000000, 0.800000, 0.179000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 4.670000, 2023-02-03, 1675458000, 2.000000, 0.053220, 0.150800, 0.000750, -0.010420, 0.000110, 1.770210, 1589.000000, 0.020000, 146 x 600, 0.010000, 0.020000, 6.000000, 1.320000, 1.380000, 44 x 36, 1.430000, -0.992890, 0.000000, 0.000000, -0.032300, -0.000880, 0.001610, 234.000000, 1.300000, 0.286000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 4.670000, 2023-02-03, 1675458000, 2.000000, 0.044990, 0.106440, 0.000380, -0.010960, -0.000350, 2.187870, 316.000000, 0.020000, 46 x 12, 0.010000, 0.020000, 6.500000, 1.820000, 1.860000, 7 x 20, 1.770000, -1.000000, 0.000000, 0.325100, 0.000000, 0.000000, 0.000870, 4.000000, 1.800000, 0.393000
